Date,Close,High,Low,Open,Volume,Pct_Change,upper_shadow_ratio,lower_shadow_ratio,price_diff_ratio,Vol_Pct_Change,RSI_7,RSI_14,DIF,DEA,MACD,^VIX
2024-03-21,443.16,446.61,442.96,446.15,39345700,0.47,0.13,0.05,-0.01,-9.87,64.18,60.05,3.35,3.58,-0.47,12.92
2024-03-22,443.67,444.77,441.79,442.64,28229300,0.11,0.37,0.29,0.0,-28.25,65.01,60.47,3.61,3.59,0.04,13.06
2024-03-25,442.06,443.55,439.85,440.86,27789200,-0.36,0.4,0.27,0.0,-1.56,59.88,58.36,3.64,3.6,0.09,13.19
2024-03-26,440.63,444.51,440.4,443.59,34142000,-0.32,0.22,0.06,-0.01,22.86,55.36,56.47,3.52,3.58,-0.13,13.24
2024-03-27,442.13,443.83,439.25,443.73,41359200,0.34,0.02,0.63,-0.0,21.14,59.13,58.0,3.5,3.56,-0.14,12.78
2024-03-28,441.31,442.93,440.95,442.08,36839600,-0.18,0.43,0.18,-0.0,-10.93,56.12,56.83,3.37,3.53,-0.3,13.01
2024-04-01,442.25,444.81,440.33,442.27,38729000,0.21,0.57,0.43,-0.0,5.13,58.92,57.88,3.32,3.48,-0.34,13.65
2024-04-02,438.43,438.75,435.37,437.41,44259700,-0.86,0.09,0.6,0.0,14.28,45.19,52.28,2.93,3.37,-0.89,14.61
2024-04-03,439.41,441.3,436.28,436.29,39949800,0.22,0.38,0.0,0.01,-9.74,48.78,53.53,2.67,3.23,-1.13,14.33
2024-04-04,432.7,444.23,432.47,443.62,57267700,-1.53,0.05,0.02,-0.02,43.35,32.06,44.89,1.9,2.97,-2.13,16.35
2024-04-05,437.79,440.48,433.31,434.13,54723000,1.18,0.37,0.11,0.01,-4.44,47.88,51.31,1.68,2.71,-2.05,16.03
2024-04-08,437.92,439.81,436.53,438.73,28144900,0.03,0.33,0.42,-0.0,-48.57,48.24,51.47,1.5,2.47,-1.93,15.19
2024-04-09,439.54,440.55,434.78,440.27,39521600,0.37,0.05,0.83,-0.0,40.42,52.94,53.46,1.47,2.27,-1.59,14.98
2024-04-10,435.71,436.57,433.63,434.35,61502200,-0.87,0.29,0.24,0.0,55.62,42.31,48.39,1.13,2.04,-1.82,15.8
2024-04-11,442.66,443.62,435.3,437.59,45474600,1.6,0.11,0.27,0.01,-26.06,59.51,56.45,1.4,1.91,-1.02,14.91
2024-04-12,435.61,439.55,434.23,438.42,53602600,-1.59,0.21,0.26,-0.01,17.87,43.99,48.23,1.03,1.74,-1.41,17.31
2024-04-15,428.44,439.46,427.6,439.37,63453600,-1.65,0.01,0.07,-0.02,18.38,33.61,41.6,0.16,1.42,-2.52,19.23
2024-04-16,428.48,431.12,427.09,428.28,47619000,0.01,0.66,0.3,0.0,-24.95,33.71,41.65,-0.52,1.03,-3.1,18.4
